order_item_id,order_id,product_id,quantity,unit_price,line_total,discount_percent
4001,3001,2045,2,1222.5,2322.75,5
4002,3001,2073,3,83.93,251.79,0
4003,3001,2082,2,32.76,65.52,0
4004,3002,2020,4,857.35,2743.52,20
4005,3002,2023,1,67.99,64.59,5
4006,3002,2070,4,237.56,855.22,10
4007,3003,2024,1,48.34,48.34,0
4008,3003,2069,4,1040.52,4162.08,0
4009,3003,2046,3,358.44,1075.32,0
4010,3003,2041,4,33.25,133.0,0
4011,3003,2044,1,188.1,188.1,0
4012,3004,2021,4,276.48,1105.92,0
4013,3004,2018,1,32.47,32.47,0
4014,3004,2063,3,373.81,1065.36,5
4015,3004,2064,1,480.18,480.18,0
4016,3004,2016,3,15.11,38.53,15
4017,3005,2099,3,221.86,665.58,0
4018,3005,2094,1,259.12,246.16,5
4019,3006,2054,2,273.62,519.88,5
4020,3007,2080,1,200.83,200.83,0
4021,3007,2047,2,69.63,132.3,5
4022,3007,2055,2,1703.16,3406.32,0
4023,3008,2076,1,13.31,12.64,5
4024,3008,2071,4,21.19,84.76,0
4025,3008,2080,4,200.83,803.32,0
4026,3009,2039,3,448.11,1344.33,0
4027,3009,2079,4,29.21,116.84,0
4028,3009,2001,3,81.68,245.04,0
4029,3010,2042,1,1820.54,1547.46,15
4030,3010,2097,1,632.61,600.98,5
4031,3010,2031,1,43.62,41.44,5
4032,3010,2008,1,25.42,20.34,20
4033,3011,2057,4,40.83,163.32,0
4034,3011,2007,4,181.55,653.58,10
4035,3011,2076,2,13.31,23.96,10
4036,3011,2039,1,448.11,448.11,0
4037,3011,2083,4,555.23,2109.87,5
4038,3012,2044,3,188.1,564.3,0
4039,3012,2028,1,13.67,12.99,5
4040,3012,2086,2,119.99,239.98,0
4041,3013,2092,4,40.28,136.95,15
4042,3013,2094,1,259.12,259.12,0
4043,3013,2043,3,46.31,138.93,0
4044,3013,2072,1,34.11,32.4,5
4045,3014,2096,2,127.97,243.14,5
4046,3014,2043,2,46.31,87.99,5
4047,3014,2059,4,1543.12,5555.23,10
4048,3014,2036,3,43.48,130.44,0
4049,3014,2064,3,480.18,1296.49,10
4050,3015,2063,4,373.81,1495.24,0
4051,3016,2003,2,413.8,744.84,10
4052,3016,2065,3,209.37,628.11,0
4053,3016,2078,4,217.4,869.6,0
4054,3016,2073,1,83.93,79.73,5
4055,3017,2092,1,40.28,40.28,0
4056,3017,2050,2,388.25,660.02,15
4057,3018,2085,2,352.02,704.04,0
4058,3018,2020,3,857.35,2572.05,0
4059,3018,2093,2,903.01,1806.02,0
4060,3019,2074,4,47.62,190.48,0
